,team,player_number,club,position,fifa_name,birth,name,height,weight
509,Portugal,4,FC Lokomotiv Moscow (RUS),MF,MANUEL FERNANDES,1986-05-02,M. FERNANDES,174,69
510,Portugal,5,Borussia Dortmund (GER),DF,RAPHAEL GUERREIRO,1993-12-22,RAPHAEL,170,64
511,Portugal,6,Dalian Yifang FC (CHN),DF,JOSE FONTE,1983-12-22,FONTE,191,84
512,Portugal,7,Real Madrid CF (ESP),FW,CRISTIANO RONALDO,1985-05-02,RONALDO,185,80
513,Portugal,8,AS Monaco (FRA),MF,JOAO MOUTINHO,1986-08-09,J. MOUTINHO,170,61
514,Portugal,9,AC Milan (ITA),FW,ANDRE SILVA,1995-06-11,ANDRÉ SILVA,184,78
515,Portugal,10,West Ham United FC (ENG),MF,JOAO MARIO,1993-01-19,J. MÁRIO,179,73
516,Portugal,11,Manchester City FC (ENG),MF,BERNARDO SILVA,1994-10-08,BERNARDO,173,65
517,Portugal,12,Olympique Lyon (FRA),GK,ANTHONY LOPES,1990-01-10,LOPES,184,81
518,Portugal,13,SL Benfica (POR),DF,RUBEN DIAS,1997-05-14,RUBEN DIAS,187,83
519,Portugal,14,Sporting CP (POR),MF,WILLIAM,1992-07-04,WILLIAM,190,80
520,Portugal,15,FC Porto (POR),DF,RICARDO,1993-06-10,RICARDO,174,70
521,Portugal,16,Sporting CP (POR),MF,BRUNO FERNANDES,1994-08-09,B. FERNANDES,183,64
522,Portugal,17,Valencia CF (ESP),FW,GONCALO GUEDES,1996-11-29,G. GUEDES,179,72
523,Portugal,18,Sporting CP (POR),FW,GELSON MARTINS,1995-11-05,GELSON,173,63
524,Portugal,19,SSC Napoli (ITA),DF,MARIO RUI,1991-05-27,MÁRIO RUI,168,67
525,Portugal,20,Besiktas JK (TUR),FW,RICARDO QUARESMA,1983-09-26,QUARESMA,175,73
526,Portugal,21,Southampton FC (ENG),DF,CEDRIC,1991-08-31,CÉDRIC,172,67
527,Portugal,22,Goztepe SK (TUR),GK,BETO,1982-01-05,BETO,183,79
