,team,player_number,club,position,fifa_name,birth,name,height,weight
701,Tunisia,12,Al Ahly SC (EGY),DF,MAALOUL Ali,1990-01-01,MAALOUL,170,72
702,Tunisia,13,Al Nassr FC (KSA),MF,SASSI Ferjani,1992-03-18,SASSI,186,80
703,Tunisia,14,Al Ahli SC (KSA),MF,BEN AMOR Mohamed,1992-03-05,BEN AMOR,180,75
704,Tunisia,15,Club Africain (TUN),FW,KHALIL Ahmed,1994-12-21,KHALIL,187,75
705,Tunisia,16,Al Batin FC (KSA),GK,MATHLOUTHI Aymen,1984-09-14,MATHLOUTHI .A,182,84
706,Tunisia,17,Montpellier HSC (FRA),MF,SKHIRI Ellyes,1995-10-05,SKHIRI JORIS,185,69
707,Tunisia,18,OGC Nice (FRA),FW,SRARFI Bassem,1997-06-25,SRARFI,176,71
708,Tunisia,19,Club Africain (TUN),FW,KHALIFA Saber,1986-10-14,KHALIFA,185,72
709,Tunisia,20,ES Tunis (TUN),FW,CHAALELI Ghaylen,1994-02-28,CHAALELI,179,70
710,Tunisia,21,Zamalek (EGY),DF,NAGUEZ Hamdi,1992-10-28,NAGUEZ,186,75
711,Tunisia,22,LB Chateauroux (FRA),GK,HASSEN Mouez,1995-05-03,HASSEN,186,70
712,Tunisia,23,Dijon FCO (FRA),FW,SLITI Naim,1992-07-27,SLITI,173,65
713,Uruguay,1,Galatasaray SK (TUR),GK,MUSLERA Fernando,1986-06-16,F. MUSLERA,190,74
714,Uruguay,2,Atletico Madrid (ESP),DF,GIMENEZ Jose,1995-01-20,J.M. GIMENEZ,185,77
715,Uruguay,3,Atletico Madrid (ESP),DF,GODIN Diego,1986-02-16,D. GODIN,185,73
716,Uruguay,4,CA Penarol (URU),DF,VARELA Guillermo,1993-03-24,G. VARELA,173,70
717,Uruguay,5,CF Monterrey (MEX),MF,SANCHEZ Carlos,1984-02-12,C. SANCHEZ,171,74
718,Uruguay,6,Juventus FC (ITA),MF,BENTANCUR Rodrigo,1997-06-25,R. BENTANCUR,187,73
719,Uruguay,7,CA Penarol (URU),MF,RODRIGUEZ Cristian,1985-09-30,C. RODRIGUEZ,178,79
720,Uruguay,8,CA Boca Juniors (ARG),MF,NANDEZ Nahitan,1995-12-28,N. NANDEZ,171,61
721,Uruguay,9,FC Barcelona (ESP),FW,SUAREZ Luis,1987-01-24,L. SUAREZ,182,85
722,Uruguay,10,Cruzeiro EC (BRA),FW,DE ARRASCAETA Giorgian,1994-01-06,G. DE ARRASCAETA,172,64
723,Uruguay,11,Girona FC (ESP),FW,STUANI Cristhian,1986-12-10,C. STUANI,186,78
724,Uruguay,12,CA Independiente (ARG),GK,CAMPANA Martin,1989-05-29,M. CAMPAÑA,184,79
725,Uruguay,13,CA Independiente (ARG),DF,SILVA Gaston,1994-05-03,G. SILVA,185,74
726,Uruguay,14,UC Sampdoria (ITA),MF,TORREIRA Lucas,1996-11-02,L. TORREIRA,168,61
727,Uruguay,15,FC Internazionale (ITA),MF,VECINO Matias,1991-08-24,M. VECINO,189,80
728,Uruguay,16,FC Porto (POR),DF,PEREIRA Maximiliano,1984-08-06,M. PEREIRA,173,73
729,Uruguay,17,Genoa CFC (ITA),MF,LAXALT Diego,1993-07-02,D. LAXALT,178,66
730,Uruguay,18,Celta Vigo (ESP),FW,GOMEZ Maximiliano,1996-08-14,M. GOMEZ,186,85
731,Uruguay,19,Sporting CP (POR),DF,COATES Sebastian,1990-07-10,S. COATES,196,89
732,Uruguay,20,CF Monterrey (MEX),FW,URRETAVISCAYA Jonathan,1990-03-19,J. URRETAVISCAYA,172,66
733,Uruguay,21,Paris Saint-Germain FC (FRA),FW,CAVANI Edinson,1987-02-14,E. CAVANI,188,78
734,Uruguay,22,SS Lazio (ITA),DF,CACERES Martin,1987-07-04,M. CACERES,178,75
735,Uruguay,23,CR Vasco da Gama (BRA),GK,SILVA Martin,1983-03-25,M. SILVA,187,82
