datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
2845,7,10,15,15-Oct-0007 00:00:00,0,0,0
2876,7,11,15,15-Nov-0007 00:00:00,0,0,0
2906,7,12,15,15-Dec-0007 00:00:00,0,0,0
2937,8,1,15,15-Jan-0008 00:00:00,0,0,0
2968,8,2,15,15-Feb-0008 00:00:00,0,0,0
2997,8,3,15,15-Mar-0008 00:00:00,0,0,0
3028,8,4,15,15-Apr-0008 00:00:00,0,0,0
3058,8,5,15,15-May-0008 00:00:00,0,0,0
3089,8,6,15,15-Jun-0008 00:00:00,0,0,0
3119,8,7,15,15-Jul-0008 00:00:00,0,0,0
3150,8,8,15,15-Aug-0008 00:00:00,0,0,0
3181,8,9,15,15-Sep-0008 00:00:00,0,0,0
3211,8,10,15,15-Oct-0008 00:00:00,0,0,0
3242,8,11,15,15-Nov-0008 00:00:00,0,0,0
3272,8,12,15,15-Dec-0008 00:00:00,0,0,0
3303,9,1,15,15-Jan-0009 00:00:00,0,0,0
3334,9,2,15,15-Feb-0009 00:00:00,0,0,0
3362,9,3,15,15-Mar-0009 00:00:00,0,0,0
3393,9,4,15,15-Apr-0009 00:00:00,0,0,0
3423,9,5,15,15-May-0009 00:00:00,0,0,0
3454,9,6,15,15-Jun-0009 00:00:00,0,0,0
3484,9,7,15,15-Jul-0009 00:00:00,0,0,0
3515,9,8,15,15-Aug-0009 00:00:00,0,0,0
3546,9,9,15,15-Sep-0009 00:00:00,0,0,0
3576,9,10,15,15-Oct-0009 00:00:00,0,0,0
3607,9,11,15,15-Nov-0009 00:00:00,0,0,0
3637,9,12,15,15-Dec-0009 00:00:00,0,0,0
3668,10,1,15,15-Jan-0010 00:00:00,0,0,0
3699,10,2,15,15-Feb-0010 00:00:00,0,0,0
3727,10,3,15,15-Mar-0010 00:00:00,0,0,0
3758,10,4,15,15-Apr-0010 00:00:00,0,0,0
3788,10,5,15,15-May-0010 00:00:00,0,0,0
3819,10,6,15,15-Jun-0010 00:00:00,0,0,0
3849,10,7,15,15-Jul-0010 00:00:00,0,0,0
3880,10,8,15,15-Aug-0010 00:00:00,0,0,0
3911,10,9,15,15-Sep-0010 00:00:00,0,0,0
3941,10,10,15,15-Oct-0010 00:00:00,0,0,0
3972,10,11,15,15-Nov-0010 00:00:00,0,0,0
4002,10,12,15,15-Dec-0010 00:00:00,0,0,0
4033,11,1,15,15-Jan-0011 00:00:00,0,0,0
4064,11,2,15,15-Feb-0011 00:00:00,0,0,0
4092,11,3,15,15-Mar-0011 00:00:00,0,0,0
4123,11,4,15,15-Apr-0011 00:00:00,0,0,0
4153,11,5,15,15-May-0011 00:00:00,0,0,0
4184,11,6,15,15-Jun-0011 00:00:00,0,0,0
4214,11,7,15,15-Jul-0011 00:00:00,0,0,0
4245,11,8,15,15-Aug-0011 00:00:00,0,0,0
4276,11,9,15,15-Sep-0011 00:00:00,0,0,0
4306,11,10,15,15-Oct-0011 00:00:00,0,0,0
4337,11,11,15,15-Nov-0011 00:00:00,0,0,0
4367,11,12,15,15-Dec-0011 00:00:00,0,0,0
4398,12,1,15,15-Jan-0012 00:00:00,0,0,0
4429,12,2,15,15-Feb-0012 00:00:00,0,0,0
4458,12,3,15,15-Mar-0012 00:00:00,0,0,0
4489,12,4,15,15-Apr-0012 00:00:00,0,0,0
4519,12,5,15,15-May-0012 00:00:00,0,0,0
4550,12,6,15,15-Jun-0012 00:00:00,0,0,0
4580,12,7,15,15-Jul-0012 00:00:00,0,0,0
4611,12,8,15,15-Aug-0012 00:00:00,0,0,0
4642,12,9,15,15-Sep-0012 00:00:00,0,0,0
4672,12,10,15,15-Oct-0012 00:00:00,0,0,0
4703,12,11,15,15-Nov-0012 00:00:00,0,0,0
4733,12,12,15,15-Dec-0012 00:00:00,0,0,0
4764,13,1,15,15-Jan-0013 00:00:00,0,0,0
4795,13,2,15,15-Feb-0013 00:00:00,0,0,0
4823,13,3,15,15-Mar-0013 00:00:00,0,0,0
4854,13,4,15,15-Apr-0013 00:00:00,0,0,0
4884,13,5,15,15-May-0013 00:00:00,0,0,0
4915,13,6,15,15-Jun-0013 00:00:00,0,0,0
4945,13,7,15,15-Jul-0013 00:00:00,0,0,0
4976,13,8,15,15-Aug-0013 00:00:00,0,0,0
5007,13,9,15,15-Sep-0013 00:00:00,0,0,0
5037,13,10,15,15-Oct-0013 00:00:00,0,0,0
5068,13,11,15,15-Nov-0013 00:00:00,0,0,0
5098,13,12,15,15-Dec-0013 00:00:00,0,0,0
5129,14,1,15,15-Jan-0014 00:00:00,0,0,0
5160,14,2,15,15-Feb-0014 00:00:00,0,0,0
5188,14,3,15,15-Mar-0014 00:00:00,0,0,0
5219,14,4,15,15-Apr-0014 00:00:00,0,0,0
5249,14,5,15,15-May-0014 00:00:00,0,0,0
5280,14,6,15,15-Jun-0014 00:00:00,0,0,0
5310,14,7,15,15-Jul-0014 00:00:00,0,0,0
5341,14,8,15,15-Aug-0014 00:00:00,0,0,0
5372,14,9,15,15-Sep-0014 00:00:00,0,0,0
