,co2,relative_temp
1850-01-15,284.944656165892,-0.7
1850-02-15,285.33379177202005,-0.28600000000000003
1850-03-15,285.68282529314996,-0.732
1850-04-15,285.93117886177896,-0.563
1850-05-15,285.88592837839,-0.327
1850-06-15,285.166409774479,-0.213
1850-07-15,283.535435169395,-0.125
1850-08-15,281.936464955225,-0.237
1850-09-15,281.901050552666,-0.439
1850-10-15,282.941449012576,-0.451
1850-11-15,283.950587411799,-0.187
1850-12-15,284.594220910059,-0.257
1851-01-15,285.062186270545,-0.29600000000000004
1851-02-15,285.454612618704,-0.35600000000000004
1851-03-15,285.807019565383,-0.479
1851-04-15,286.058745574905,-0.441
1851-05-15,286.016688690945,-0.295
1851-06-15,285.300121015748,-0.19699999999999998
1851-07-15,283.671992646514,-0.212
1851-08-15,282.075738690955,-0.157
1851-09-15,282.04268870732,-0.10099999999999999
1851-10-15,283.085164171303,-0.057
1851-11-15,284.096026614885,-0.02
1851-12-15,284.741013624775,-0.051
1852-01-15,285.210038282149,-0.315
1852-02-15,285.603128119977,-0.47700000000000004
1852-03-15,285.955887820865,-0.502
1852-04-15,286.207688563156,-0.557
1852-05-15,286.16535777820303,-0.21100000000000002
1852-06-15,285.448222045858,-0.04
1852-07-15,283.819505446809,-0.018000000000000002
1852-08-15,282.222685845347,-0.20199999999999999
1852-09-15,282.18886406276,-0.125
1852-10-15,283.230444390441,-0.21600000000000003
1852-11-15,284.240228597374,-0.193
1852-12-15,284.88394713310004,0.073
1853-01-15,285.351546282978,-0.182
1853-02-15,285.74308894638597,-0.327
1853-03-15,286.094221167157,-0.309
1853-04-15,286.344357969177,-0.355
1853-05-15,286.300277143615,-0.268
1853-06-15,285.581368806736,-0.175
1853-07-15,283.95111908205797,-0.059000000000000004
1853-08-15,282.35304271088404,-0.14800000000000002
1853-09-15,282.317998665078,-0.40399999999999997
1853-10-15,283.358427178718,-0.36200000000000004
1853-11-15,284.367036963703,-0.255
1853-12-15,285.009513026331,-0.43700000000000006
1854-01-15,285.47578088337,-0.365
1854-02-15,285.865921861758,-0.282
1854-03-15,286.215568344039,-0.28600000000000003
1854-04-15,286.464135248693,-0.353
1854-05-15,286.418319427959,-0.233
1854-06-15,285.69752791862703,-0.21899999999999997
1854-07-15,284.06543551480803,-0.22699999999999998
1854-08-15,282.465574015363,-0.16699999999999998
1854-09-15,282.428634332472,-0.11900000000000001
1854-10-15,283.467137460205,-0.192
1854-11-15,284.47376132930697,-0.36700000000000005
1854-12-15,285.114201334789,-0.233
1855-01-15,285.57840488204,-0.16899999999999998
1855-02-15,285.966540052717,-0.401
1855-03-15,286.31426703643103,-0.306
1855-04-15,286.56104968567297,-0.223
1855-05-15,286.51356701117,-0.33799999999999997
1855-06-15,285.79128904863,-0.16699999999999998
1855-07-15,284.158095446921,-0.271
1855-08-15,282.557566370117,-0.163
1855-09-15,282.52024864908697,-0.336
1855-10-15,283.558718333307,-0.217
1855-11-15,284.565616266236,-0.214
1855-12-15,285.20663476548697,-0.518
1856-01-15,285.67179311222696,-0.122
1856-02-15,286.061178714628,-0.376
1856-03-15,286.410530037697,-0.528
1856-04-15,286.659344067784,-0.38
1856-05-15,286.61425703625497,-0.129
1856-06-15,285.894788102253,-0.29100000000000004
1856-07-15,284.265027312646,-0.304
1856-08-15,282.668577522689,-0.309
1856-09-15,282.635726700548,-0.461
1856-10-15,283.678996156165,-0.391
1856-11-15,284.690867229516,-0.608
1856-12-15,285.336911398611,-0.449
1857-01-15,285.80718375293,-0.513
1857-02-15,286.201409102248,-0.345
1857-03-15,286.555370643819,-0.434
1857-04-15,286.80849045988,-0.649
1857-05-15,286.767220928145,-0.57
1857-06-15,286.051029251646,-0.31
1857-07-15,284.424184979168,-0.541
1857-08-15,282.8302422032,-0.32899999999999996
1857-09-15,282.799259569157,-0.39299999999999996
1857-10-15,283.843898911574,-0.474
1857-11-15,284.856631848095,-0.6679999999999999
1857-12-15,285.50307562422,-0.358
1858-01-15,285.973428533867,-0.528
1858-02-15,286.367387972085,-0.708
1858-03-15,286.720890208468,-0.5479999999999999
1858-04-15,286.97346051501097,-0.512
1858-05-15,286.931538480641,-0.653
1858-06-15,286.214718926672,-0.5820000000000001
1858-07-15,284.587645410516,-0.32899999999999996
1858-08-15,282.993973834516,-0.278
1858-09-15,282.963487893952,-0.332
1858-10-15,284.008894810922,-0.21100000000000002
1858-11-15,285.022551404762,-0.643
1858-12-15,285.670019192476,-0.304
1859-01-15,286.14154524939096,-0.308
1859-02-15,286.53669164753103,-0.18899999999999997
1859-03-15,286.89145396059297,-0.327
1859-04-15,287.145362911525,-0.195
1859-05-15,287.10473982977004,-0.307
1859-06-15,286.389211044685,-0.248
1859-07-15,284.76371443857397,-0.27399999999999997
1859-08-15,283.171919897762,-0.1
1859-09-15,283.14329723347197,-0.565
1859-10-15,284.190614723639,-0.249
1859-11-15,285.206119533092,-0.315
1859-12-15,285.855326532121,-0.363
1860-01-15,286.328561520526,-0.18100000000000002
1860-02-15,286.725225159994,-0.426
1860-03-15,287.081403293532,-0.642
1860-04-15,287.336646182979,-0.332
1860-05-15,287.297158334022,-0.293
1860-06-15,286.582614336925,-0.309
1860-07-15,284.958290031711,-0.109
1860-08-15,283.367882839573,-0.182
1860-09-15,283.340511131318,-0.217
1860-10-15,284.388992043185,-0.195
1860-11-15,285.405433053931,-0.515
1860-12-15,286.055278799547,-0.762
1861-01-15,286.52887904911,-0.893
1861-02-15,286.925532277788,-0.508
1861-03-15,287.28136000827004,-0.46399999999999997
1861-04-15,287.53591228604597,-0.386
1861-05-15,287.495257037809,-0.768
1861-06-15,286.779097359488,-0.18899999999999997
1861-07-15,285.153027292534,-0.221
1861-08-15,283.560754611264,-0.094
1861-09-15,283.53109362715696,-0.33
1861-10-15,284.577025618111,-0.36200000000000004
1861-11-15,285.59063691597,-0.41700000000000004
1861-12-15,286.23742046159,-0.247
1862-01-15,286.707808670214,-0.742
1862-02-15,287.101245033834,-0.78
1862-03-15,287.453944050266,-0.40299999999999997
1862-04-15,287.705570091571,-0.24
1862-05-15,287.66218802666697,-0.225
1862-06-15,286.94364000267797,-0.336
1862-07-15,285.315908488923,-0.344
1862-08-15,283.722820741354,-0.7
1862-09-15,283.69292003243,-0.42
1862-10-15,284.73917790064,-0.42
1862-11-15,285.753503001269,-0.7659999999999999
1862-12-15,286.40127038442,-0.887
1863-01-15,286.872884535807,0.122
1863-02-15,287.267624490116,-0.024
1863-03-15,287.62168710090197,-0.365
1863-04-15,287.874679714693,-0.244
1863-05-15,287.832489978939,-0.32899999999999996
1863-06-15,287.114928332058,-0.402
1863-07-15,285.488200885522,-0.423
1863-08-15,283.896086081447,-0.326
1863-09-15,283.866800669245,-0.316
1863-10-15,284.913425586246,-0.384
1863-11-15,285.92781962841,-0.32899999999999996
1863-12-15,286.575369204313,-0.341
1864-01-15,287.043461105101,-0.941
1864-02-15,287.43804648486696,-0.632
1864-03-15,287.79224300677504,-0.507
1864-04-15,288.04552333796903,-0.5479999999999999
1864-05-15,288.004506884842,-0.45399999999999996
1864-06-15,287.288686908825,-0.165
1864-07-15,285.662111637828,-0.159
1864-08-15,284.068371360169,-0.311
1864-09-15,284.037815663627,-0.445
1864-10-15,285.083001248303,-0.706
1864-11-15,286.096451636901,-0.47200000000000003
1864-12-15,286.74377667321096,-0.615
1865-01-15,287.217245276198,-0.10099999999999999
1865-02-15,287.611935446024,-0.615
1865-03-15,287.965893888655,-0.6459999999999999
1865-04-15,288.218722777834,-0.23600000000000002
1865-05-15,288.176370742132,-0.265
1865-06-15,287.458629113214,-0.285
1865-07-15,285.831544355377,-0.136
1865-08-15,284.238885515466,-0.21
1865-09-15,284.209034689962,-0.085
1865-10-15,285.255045051793,-0.27
1865-11-15,286.268842401815,-0.2
1865-12-15,286.915846460209,-0.342
1866-01-15,287.386082058588,0.037000000000000005
1866-02-15,287.77985249735804,-0.21600000000000003
1866-03-15,288.132968963223,-0.596
1866-04-15,288.385080402615,-0.265
1866-05-15,288.342208381653,-0.53
1866-06-15,287.624185493597,0.098
1866-07-15,285.99704387761903,0.018000000000000002
1866-08-15,284.40459773794,-0.273
1866-09-15,284.37532128231703,-0.23199999999999998
1866-10-15,285.422196150092,-0.425
1866-11-15,286.437093520896,-0.309
1866-12-15,287.085365167487,-0.33399999999999996
1867-01-15,287.555566913774,-0.313
1867-02-15,287.950912743459,0.006999999999999999
1867-03-15,288.30571067334097,-0.7140000000000001
1867-04-15,288.559435943218,-0.266
1867-05-15,288.51840102907903,-0.546
1867-06-15,287.802166955532,-0.304
1867-07-15,286.175507238437,-0.247
1867-08-15,284.58203380795396,-0.23399999999999999
1867-09-15,284.551295911725,-0.10300000000000001
1867-10-15,285.596035993629,-0.18600000000000003
1867-11-15,286.608550044732,-0.314
1867-12-15,287.25437801821397,-0.628
1868-01-15,287.724558661894,-0.7
1868-02-15,288.116980955691,-0.47100000000000003
1868-03-15,288.46845630351896,-0.079
1868-04-15,288.718584177726,-0.381
1868-05-15,288.67343663569,-0.077
1868-06-15,287.95277574092,-0.17800000000000002
1868-07-15,286.322350731317,0.138
1868-08-15,284.725920190544,-0.040999999999999995
1868-09-15,284.692190059761,-0.20199999999999999
1868-10-15,285.734151011223,-0.23800000000000002
1868-11-15,286.743845381136,-0.505
1868-12-15,287.386745227445,-0.131
1869-01-15,287.85285638807005,-0.249
1869-02-15,288.24253008930697,0.258
1869-03-15,288.591548057178,-0.591
1869-04-15,288.83954786695097,-0.221
1869-05-15,288.79266083364496,-0.281
1869-06-15,288.070682667874,-0.376
1869-07-15,286.439351313338,-0.293
1869-08-15,284.8424621559,-0.084
1869-09-15,284.808806467376,-0.196
1869-10-15,285.851323572455,-0.41700000000000004
1869-11-15,286.861996898243,-0.371
1869-12-15,287.50622851822396,-0.358
1870-01-15,287.974208201822,-0.08199999999999999
1870-02-15,288.365644985782,-0.45299999999999996
1870-03-15,288.71650890782297,-0.4
1870-04-15,288.966374622833,-0.20600000000000002
1870-05-15,288.921246547234,-0.168
1870-06-15,288.200870946971,-0.21600000000000003
1870-07-15,286.571072238682,0.018000000000000002
1870-08-15,284.975586821614,-0.259
1870-09-15,284.942981584181,-0.264
1870-10-15,285.986249163152,-0.40299999999999997
1870-11-15,286.997390807916,-0.17
1870-12-15,287.641859823568,-0.72
1871-01-15,288.110436022163,-0.528
1871-02-15,288.501801591248,-0.5479999999999999
1871-03-15,288.852533519647,0.003
1871-04-15,289.102323563704,-0.139
1871-05-15,289.05707245453704,-0.309
1871-06-15,288.336690063784,-0.222
1871-07-15,286.70763346457,-0.013000000000000001
1871-08-15,285.113769732899,-0.221
1871-09-15,285.083193675595,-0.45299999999999996
1871-10-15,286.129020297896,-0.48
1871-11-15,287.14301474977697,-0.5379999999999999
1871-12-15,287.79050520967,-0.561
1872-01-15,288.266797376515,-0.31
1872-02-15,288.660727813754,-0.405
1872-03-15,289.013522169507,-0.47
1872-04-15,289.26516074756,-0.15
1872-05-15,289.220185871362,-0.040999999999999995
1872-06-15,288.499142857588,-0.205
1872-07-15,286.872623103069,-0.113
1872-08-15,285.284883495981,-0.027000000000000003
1872-09-15,285.259948274772,-0.128
1872-10-15,286.311838347133,-0.22699999999999998
1872-11-15,287.330976331451,-0.244
1872-12-15,287.982187498681,-0.426
1873-01-15,288.460037760388,-0.03
1873-02-15,288.85542944250705,-0.344
1873-03-15,289.208958118399,-0.29
1873-04-15,289.46085507645097,-0.524
1873-05-15,289.414702478135,-0.41200000000000003
1873-06-15,288.69155172811,-0.257
1873-07-15,287.065073335771,-0.15
1873-08-15,285.479849642482,-0.159
1873-09-15,285.45694975761904,-0.355
1873-10-15,286.511108079959,-0.401
1873-11-15,287.53183092426,-0.46399999999999997
1873-12-15,288.183647254549,-0.272
1874-01-15,288.656471916777,0.063
1874-02-15,289.05178532424,-0.435
1874-03-15,289.405516190632,-0.556
1874-04-15,289.65787481547,-0.504
1874-05-15,289.612857087175,-0.467
1874-06-15,288.891401857497,-0.457
1874-07-15,287.266143545397,-0.16899999999999998
1874-08-15,285.681616774426,-0.363
1874-09-15,285.660019729305,-0.204
1874-10-15,286.71584619528,-0.433
1874-11-15,287.73885681035597,-0.501
1874-12-15,288.393603450647,-0.40399999999999997
1875-01-15,288.870551603777,-0.5710000000000001
1875-02-15,289.269526709748,-0.597
1875-03-15,289.626989900709,-0.597
1875-04-15,289.883006453368,-0.466
1875-05-15,289.84159943171903,-0.175
