name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Nienke Kingma,Netherlands,30,182.0,74.0,F,1982-02-12 00:00:00,0,0,1,1,Rowing,Women's Eight
Felipe Kitadai,Brazil,23,164.0,60.0,M,1989-07-28 00:00:00,0,0,1,1,Judo,Men's -60kg
Ingrid Klimke,Germany,44,172.0,59.0,F,1968-04-01 00:00:00,1,0,0,1,Equestrian,"Individual Eventing, Team Eventing, BUTTS ABRAXXAS"
Kara Kohler,United States of America,21,188.0,82.0,F,1991-01-20 00:00:00,0,0,1,1,Rowing,Women's Quadruple Sculls
Victoria Komova,Russian Federation,17,150.0,48.0,F,1995-01-30 00:00:00,0,2,0,2,Gymnastics - Artistic,"Women's Individual All-Around, Women's Team, Women's Qualification"
Olena Kostevych,Ukraine,27,162.0,54.0,F,1985-04-14 00:00:00,0,0,2,2,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Nikolay Kovalev,Russian Federation,25,176.0,70.0,M,1986-10-28 00:00:00,0,0,1,1,Fencing,"Men's Individual Sabre, Men's Team Sabre"
Anastasiia Kozhenkova,Ukraine,26,186.0,73.0,F,1986-01-19 00:00:00,1,0,0,1,Rowing,Women's Quadruple Sculls
Andreas Kuffner,Germany,25,196.0,93.0,M,1987-03-11 00:00:00,1,0,0,1,Rowing,Men's Eight
Yolane Kukla,Australia,16,168.0,61.0,F,1995-09-29 00:00:00,1,0,0,1,Swimming,Women's 4x100m Freestyle Relay
Iryna Kulesha,Belarus,26,163.0,75.0,F,1986-06-26 00:00:00,0,0,1,1,Weightlifting,Women's 75kg
Vijay Kumar,India,26,170.0,70.0,M,1985-08-19 00:00:00,0,1,0,1,Shooting,"Men's 25m Rapid Fire Pistol, Men's 10m Air Pistol"
Evgeny Kuznetsov,Russian Federation,22,170.0,64.0,M,1990-04-12 00:00:00,0,1,0,1,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
Kate Hornsey,Australia,30,174.0,73.0,F,1981-10-19 00:00:00,0,1,0,1,Rowing,Women's Pair
Evgeny Lagunov,Russian Federation,26,190.0,85.0,M,1985-12-14 00:00:00,0,0,1,1,Swimming,"Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Mylene Lazare,France,24,183.0,75.0,F,1987-11-20 00:00:00,0,0,1,1,Swimming,Women's 4x200m Freestyle Relay
Chad le Clos,South Africa,20,184.0,76.0,M,1992-04-12 00:00:00,1,0,0,1,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Sung Jin Lee,Republic of Korea,27,165.0,60.0,F,1985-03-07 00:00:00,1,0,0,1,Archery,"Women's Individual, Women's Team"
Clement Lefert,France,24,185.0,68.0,M,1987-09-26 00:00:00,1,1,0,2,Swimming,"Men's 100m Butterfly, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Ugo Legrand,France,23,175.0,73.0,M,1989-01-22 00:00:00,0,0,1,1,Judo,Men's -73kg
Sheng Lei,People's Republic of China,28,192.0,75.0,M,1984-03-07 00:00:00,1,0,0,1,Fencing,"Men's Individual Foil, Men's Team Foil"
Amaury Leveaux,France,26,202.0,92.0,M,1985-12-02 00:00:00,1,1,0,2,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Caitlin Leverenz,United States of America,21,173.0,73.0,F,1991-02-26 00:00:00,0,0,1,1,Swimming,"Women's 200m Individual Medley, Women's 400m Individual Medley"
Maximilian Levy,Germany,25,182.0,88.0,M,1987-06-26 00:00:00,0,0,1,1,Cycling - Track,"Men's Keirin, Men's Team Sprint"
