name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Marc Ryan,New Zealand,29,185.0,77.0,M,1982-10-14 00:00:00,0,0,1,1,Cycling - Track,Men's Team Pursuit
Chun Hwa Ryang,Democratic People's Republic  of Korea,21,147.0,48.0,F,1991-06-12 00:00:00,0,0,1,1,Weightlifting,Women's 48kg
Ranomi Kromowidjojo,Netherlands,21,179.0,69.0,F,1990-08-20 00:00:00,1,1,0,2,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay"
Ren Hayakawa,Japan,24,179.0,65.0,F,1987-08-24 00:00:00,0,0,1,1,Archery,"Women's Individual, Women's Team"
Richard Hounslow,Great Britain,30,183.0,76.0,M,1981-12-19 00:00:00,0,1,0,1,Canoe Slalom,"Men's Kayak (K1), Men's Canoe Double (C2)"
Rosalba Forciniti,Italy,26,159.0,52.0,F,1986-02-13 00:00:00,0,0,1,1,Judo,Women's -52kg
David Sain,Croatia,24,186.0,93.0,M,1988-02-08 00:00:00,0,1,0,1,Rowing,Men's Quadruple Sculls
Nyam-Ochir Sainjargal,Mongolia,26,174.0,73.0,M,1986-07-20 00:00:00,0,0,1,1,Judo,Men's -73kg
Ilaria Salvatori,Italy,33,160.0,54.0,F,05/02/1979,1,0,0,1,Fencing,Women's Team Foil
German Sanchez Sanchez,Mexico,20,167.0,47.0,M,1992-06-24 00:00:00,0,1,0,1,Diving,"Men's 10m Platform, Men's Synchronised 10m Platform"
Alessio Sartori,Italy,35,202.0,100.0,M,1976-11-13 00:00:00,0,1,0,1,Rowing,Men's Double Sculls
William Satch,Great Britain,23,194.0,94.0,M,1989-06-09 00:00:00,0,0,1,1,Rowing,Men's Pair
Martin Sauer,Germany,29,169.0,55.0,M,1982-12-17 00:00:00,1,0,0,1,Rowing,Men's Eight
Mohamed Sbihi,Great Britain,24,203.0,103.0,M,1988-03-27 00:00:00,0,0,1,1,Rowing,Men's Eight
Anne Schellekens,Netherlands,26,163.0,48.0,F,1986-04-18 00:00:00,0,0,1,1,Rowing,Women's Eight
Melanie Schlanger,Australia,25,176.0,65.0,F,1986-08-31 00:00:00,1,1,0,2,Swimming,"Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Richard Schmidt,Germany,25,191.0,97.0,M,1987-05-23 00:00:00,1,0,0,1,Rowing,Men's Eight
Allison Schmitt,United States of America,22,185.0,74.0,F,1990-06-07 00:00:00,2,1,1,4,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Lauritz Schoof,Germany,21,195.0,96.0,M,1990-10-07 00:00:00,1,0,0,1,Rowing,Men's Quadruple Sculls
Dirk Schrade,Germany,34,183.0,68.0,M,1978-06-29 00:00:00,1,0,0,1,Equestrian,"Individual Eventing, Team Eventing, KING ARTUS"
Hinkelien Schreuder,Netherlands,28,179.0,64.0,F,1984-02-13 00:00:00,0,1,0,1,Swimming,Women's 4x100m Freestyle Relay
Karl Schulze,Germany,24,190.0,98.0,M,1988-03-05 00:00:00,1,0,0,1,Rowing,Men's Quadruple Sculls
Rebecca Scown,New Zealand,28,176.0,73.0,F,1983-08-10 00:00:00,0,0,1,1,Rowing,Women's Pair
Greg Searle,Great Britain,40,197.0,97.0,M,1972-03-20 00:00:00,0,0,1,1,Rowing,Men's Eight
Emily Seebohm,Australia,20,180.0,70.0,F,1992-06-05 00:00:00,1,1,0,2,Swimming,"Women's 100m Backstroke, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Jesse Sergent,New Zealand,24,189.0,77.0,M,1988-07-08 00:00:00,0,0,1,1,Cycling - Track,Men's Team Pursuit
Aida Shanaeva,Russian Federation,26,178.0,68.0,F,1986-04-23 00:00:00,0,1,0,1,Fencing,"Women's Individual Foil, Women's Team Foil"
Lasha Shavdatuashvili,Georgia,20,167.0,66.0,M,1992-01-31 00:00:00,1,0,0,1,Judo,Men's -66kg
Maryna Shkermankova,Belarus,22,161.0,68.0,F,1990-04-09 00:00:00,0,0,1,1,Weightlifting,Women's 69kg
Rafael Silva,Brazil,25,203.0,155.0,M,1987-05-11 00:00:00,0,0,1,1,Judo,Men's +100kg
Martin Sinkovic,Croatia,22,188.0,95.0,M,1989-11-10 00:00:00,0,1,0,1,Rowing,Men's Quadruple Sculls
Valent Sinkovic,Croatia,24,184.0,93.0,M,1988-08-02 00:00:00,0,1,0,1,Rowing,Men's Quadruple Sculls
Kevin Sireau,France,25,188.0,90.0,M,1987-04-18 00:00:00,0,1,0,1,Cycling - Track,Men's Team Sprint
Pimsiri Sirikaew,Thailand,22,149.0,58.0,F,1990-04-25 00:00:00,0,1,0,1,Weightlifting,Women's 58kg
John Smith,South Africa,22,191.0,72.0,M,1990-01-12 00:00:00,1,0,0,1,Rowing,Men's Lightweight Four
Louis Smith,Great Britain,23,179.0,76.0,M,1989-04-22 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Dae-Nam Song,Republic of Korea,33,178.0,85.0,M,1979-04-05 00:00:00,1,0,0,1,Judo,Men's -90kg
Rebecca Soni,United States of America,25,170.0,61.0,F,1987-03-18 00:00:00,1,1,0,2,Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke"
Luka Spik,Slovenia,33,196.0,95.0,M,1979-02-09 00:00:00,0,0,1,1,Rowing,Men's Double Sculls
Christian Sprenger,Australia,26,196.0,92.0,M,1985-12-19 00:00:00,0,1,0,1,Swimming,Men's 100m Breaststroke
Heather Stanning,Great Britain,27,181.0,74.0,F,1985-01-26 00:00:00,1,0,0,1,Rowing,Women's Pair
Etienne Stott,Great Britain,33,182.0,83.0,M,1979-06-30 00:00:00,1,0,0,1,Canoe Slalom,Men's Canoe Double (C2)
Mika Sugimoto,Japan,27,165.0,100.0,F,1984-08-27 00:00:00,0,1,0,1,Judo,Women's +78kg
Joseph Sullivan,New Zealand,25,182.0,82.0,M,1987-04-11 00:00:00,1,0,0,1,Rowing,Men's Double Sculls
Yang Sun,People's Republic of China,20,198.0,89.0,M,1991-12-01 00:00:00,1,1,1,3,Swimming,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 1500m Freestyle, Men's 4x200m Freestyle Relay"
Yujie Sun,People's Republic of China,19,185.0,72.0,F,1992-08-10 00:00:00,0,0,1,1,Fencing,"Women's Individual Epee, Women's Team Epee"
Satomi Suzuki,Japan,21,168.0,62.0,F,1991-01-29 00:00:00,0,1,1,2,Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke, Women's 4x100m Medley Relay"
Ondrej Synek,Czech Republic,29,199.0,93.0,M,1982-10-13 00:00:00,0,1,0,1,Rowing,Men's Single Sculls
Shu-Ching Hsu,Taipei (Chinese Taipei),21,159.0,52.0,F,1991-05-09 00:00:00,0,1,0,1,Weightlifting,Women's 53kg
Svetlana Podobedova,Kazakhstan,26,165.0,75.0,F,1986-05-25 00:00:00,1,0,0,1,Weightlifting,Women's 75kg
Sarah Tait,Australia,29,180.0,70.0,F,1983-01-23 00:00:00,0,1,0,1,Rowing,Women's Pair
Kazuhito Tanaka,Japan,27,166.0,56.0,M,1985-05-16 00:00:00,0,1,0,1,Gymnastics - Artistic,"Men's Individual All-Around, Men's Team, Men's Qualification"
Yusuke Tanaka,Japan,22,166.0,58.0,M,1989-11-29 00:00:00,0,1,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Yi Tang,People's Republic of China,19,177.0,70.0,F,1993-01-08 00:00:00,0,0,1,1,Swimming,"Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Kateryna Tarasenko,Ukraine,24,183.0,72.0,F,1987-08-06 00:00:00,1,0,0,1,Rowing,Women's Quadruple Sculls
Davis Tarwater,United States of America,28,185.0,84.0,M,1984-03-24 00:00:00,1,0,0,1,Swimming,Men's 4x200m Freestyle Relay
Sideris Tasiadis,Germany,22,179.0,79.0,M,1990-05-07 00:00:00,0,1,0,1,Canoe Slalom,Men's Canoe Single (C1)
Ryo Tateishi,Japan,23,182.0,70.0,M,1989-06-12 00:00:00,0,0,1,1,Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke"
Audrey Tcheumeo,France,22,177.0,78.0,F,1990-04-20 00:00:00,0,0,1,1,Judo,Women's -78kg
Aya Terakawa,Japan,27,173.0,60.0,F,1984-11-12 00:00:00,0,0,1,1,Swimming,"Women's 100m Backstroke, Women's 4x100m Medley Relay"
Luca Tesconi,Italy,30,177.0,73.0,M,1982-01-03 00:00:00,0,1,0,1,Shooting,Men's 10m Air Pistol
Annekatrin Thiele,Germany,27,173.0,68.0,F,1984-10-18 00:00:00,0,1,0,1,Rowing,Women's Quadruple Sculls
Kerstin Thiele,Germany,25,168.0,70.0,F,1986-08-26 00:00:00,0,1,0,1,Judo,Women's -70kg
Nick Thoman,United States of America,26,185.0,84.0,M,1986-03-06 00:00:00,0,1,0,1,Swimming,"Men's 100m Backstroke, Men's 4x100m Medley Relay"
Kristian Thomas,Great Britain,23,180.0,78.0,M,1989-02-14 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Individual All-Around, Men's Team, Men's Qualification"
James Thompson,South Africa,25,182.0,70.0,M,1986-11-18 00:00:00,1,0,0,1,Rowing,Men's Lightweight Four
Lesley Thompson-Willie,Canada,52,160.0,50.0,F,1959-09-20 00:00:00,0,1,0,1,Rowing,Women's Eight
Peter Thomsen,Germany,51,183.0,73.0,M,1961-04-04 00:00:00,1,0,0,1,Equestrian,"Individual Eventing, Team Eventing, BARNY"
Mark Todd,New Zealand,56,190.0,82.0,M,1956-03-01 00:00:00,0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, CAMPINO"
Andreas Toelzer,Germany,32,192.0,145.0,M,1980-01-27 00:00:00,0,0,1,1,Judo,Men's +100kg
Libby Trickett,Australia,27,167.0,64.0,F,1985-01-28 00:00:00,1,0,0,1,Swimming,Women's 4x100m Freestyle Relay
Svetlana Tsarukaeva,Russian Federation,24,162.0,62.0,F,1987-12-25 00:00:00,0,1,0,1,Weightlifting,Women's 63kg
Taehwan Park,Republic of Korea,22,183.0,76.0,M,1989-09-27 00:00:00,0,2,0,2,Swimming,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 1500m Freestyle"
Takaharu Furukawa,Japan,27,174.0,81.0,M,1984-08-09 00:00:00,0,1,0,1,Archery,"Men's Individual, Men's Team"
Troy Dumais,United States of America,32,168.0,68.0,M,1980-01-21 00:00:00,0,0,1,1,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
Miklos Ungvari,Hungary,31,176.0,66.0,M,1980-10-15 00:00:00,0,1,0,1,Judo,Men's -66kg
Rigoberto Uran Uran,Colombia,25,173.0,62.0,M,1987-01-26 00:00:00,0,1,0,1,Cycling - Road,Men's Road Race
Dmitry Ushakov,Russian Federation,23,176.0,64.0,M,1988-08-15 00:00:00,0,1,0,1,Trampoline,Men's Trampoline
Antoine Valois-Fortier,Canada,22,190.0,81.0,M,1990-03-13 00:00:00,0,0,1,1,Judo,Men's -81kg
Cameron van der Burgh,South Africa,24,184.0,74.0,M,1988-05-25 00:00:00,1,0,0,1,Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
Charline van Snick,Belgium,21,157.0,48.0,F,1990-09-02 00:00:00,0,0,1,1,Judo,Women's -48kg
Peter Vanderkaay,United States of America,28,193.0,95.0,M,1984-02-12 00:00:00,0,0,1,1,Swimming,Men's 400m Freestyle
Jacobine Veenhoven,Netherlands,28,183.0,72.0,F,1984-01-30 00:00:00,0,0,1,1,Rowing,Women's Eight
Marleen Veldhuis,Netherlands,33,182.0,67.0,F,1979-06-29 00:00:00,0,1,0,1,Swimming,"Women's 50m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
Sofya Velikaya,Russian Federation,27,170.0,67.0,F,1985-06-08 00:00:00,0,1,0,1,Fencing,Women's Individual Sabre
Valentina Vezzali,Italy,38,164.0,53.0,F,1974-02-14 00:00:00,1,0,1,2,Fencing,"Women's Individual Foil, Women's Team Foil"
Rachelle Viinberg,Canada,33,183.0,74.0,F,1979-04-30 00:00:00,0,1,0,1,Rowing,Women's Eight
Alexandr Vinokurov,Kazakhstan,38,176.0,69.0,M,1973-09-16 00:00:00,1,0,0,1,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Kristina Vogel,Germany,21,160.0,62.0,F,1990-11-10 00:00:00,1,0,0,1,Cycling - Track,"Women's Sprint, Women's Keirin, Women's Team Sprint"
Dana Vollmer,United States of America,24,183.0,68.0,F,1987-11-13 00:00:00,2,0,0,2,Swimming,"Women's 100m Butterfly, Women's 4x200m Freestyle Relay"
Marianne Vos,Netherlands,25,169.0,52.0,F,1987-05-13 00:00:00,1,0,0,1,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Shannon Vreeland,United States of America,20,188.0,79.0,F,1991-11-15 00:00:00,1,0,0,1,Swimming,Women's 4x200m Freestyle Relay
Valentin Hristov,Azerbaijan,18,156.0,56.0,M,1994-03-30 00:00:00,0,0,1,1,Weightlifting,Men's 56kg
Vavrinec Hradilek,Czech Republic,25,168.0,78.0,M,1987-03-10 00:00:00,0,1,0,1,Canoe Slalom,"Men's Kayak (K1), Men's Canoe Double (C2)"
Vincent Hancock,United States of America,23,173.0,77.0,M,1989-03-19 00:00:00,1,0,0,1,Shooting,Men's Skeet
Hao Wang,People's Republic of China,19,156.0,50.0,F,1992-12-26 00:00:00,1,0,0,1,Diving,Women's Synchronised 10m Platform
Hao Wang,People's Republic of China,28,175.0,78.0,M,1983-12-15 00:00:00,0,1,0,1,Table Tennis,"Men's Singles, Men's Team"
Mingjuan Wang,People's Republic of China,26,150.0,48.0,F,1985-10-11 00:00:00,1,0,0,1,Weightlifting,Women's 48kg
Anna Watkins,Great Britain,29,183.0,78.0,F,1983-02-13 00:00:00,1,0,0,1,Rowing,Women's Double Sculls
Ning Wei,People's Republic of China,29,166.0,63.0,F,1982-08-05 00:00:00,0,1,0,1,Shooting,Women's Skeet
Amanda Weir,United States of America,26,185.0,75.0,F,1986-03-11 00:00:00,0,0,1,1,Swimming,Women's 4x100m Freestyle Relay
Miriam Welte,Germany,25,171.0,67.0,F,1986-12-09 00:00:00,1,0,0,1,Cycling - Track,Women's Team Sprint
Phillipp Wende,Germany,27,199.0,89.0,M,1985-07-04 00:00:00,1,0,0,1,Rowing,Men's Quadruple Sculls
Mary Whipple,United States of America,32,163.0,48.0,F,1980-05-10 00:00:00,1,0,0,1,Rowing,Women's Eight
Max Whitlock,Great Britain,19,167.0,56.0,M,1993-01-13 00:00:00,0,0,1,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Jordyn Wieber,United States of America,17,157.0,52.0,F,1995-07-12 00:00:00,1,0,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Bradley Wiggins,Great Britain,32,190.0,77.0,M,1980-04-28 00:00:00,1,0,0,1,"Cycling - Road, Cycling - Track","Men's Individual Time Trial, Men's Road Race"
Kristof Wilke,Germany,27,190.0,92.0,M,1985-04-17 00:00:00,1,0,0,1,Rowing,Men's Eight
Lauren Wilkinson,Canada,22,180.0,73.0,F,1989-10-17 00:00:00,0,1,0,1,Rowing,Women's Eight
Rob Williams,Great Britain,27,185.0,75.0,M,1985-01-21 00:00:00,0,1,0,1,Rowing,Men's Lightweight Four
Nicola Wilson,Great Britain,35,177.0,64.0,F,1976-10-01 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, OPPOSITION BUZZ"
Peter Robert Russell Wilson,Great Britain,25,198.0,90.0,M,1986-09-15 00:00:00,1,0,0,1,Shooting,Men's Double Trap
Kasper Winther,Denmark,27,182.0,73.0,M,1985-03-21 00:00:00,0,0,1,1,Rowing,Men's Lightweight Four
Jingbiao Wu,People's Republic of China,23,163.0,56.0,M,1989-01-10 00:00:00,0,1,0,1,Weightlifting,Men's 56kg
Minxia Wu,People's Republic of China,26,167.0,53.0,F,1985-11-10 00:00:00,1,0,0,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Jacob Wukie,United States of America,26,180.0,73.0,M,1986-05-11 00:00:00,0,1,0,1,Archery,"Men's Individual, Men's Team"
Chen Xu,People's Republic of China,27,186.0,80.0,M,1984-11-29 00:00:00,0,1,0,1,Badminton,Mixed Doubles
Jing Xu,People's Republic of China,21,169.0,70.0,F,1990-09-06 00:00:00,0,1,0,1,Archery,"Women's Individual, Women's Team"
Lili Xu,People's Republic of China,24,166.0,63.0,F,1988-02-18 00:00:00,0,1,0,1,Judo,Women's -63kg
Koji Yamamuro,Japan,23,159.0,58.0,M,1989-01-17 00:00:00,0,1,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Shiwen Ye,People's Republic of China,16,172.0,64.0,F,1996-03-01 00:00:00,2,0,0,2,Swimming,"Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
Siling Yi,People's Republic of China,23,165.0,54.0,F,1989-05-06 00:00:00,1,0,0,1,Shooting,Women's 10m Air Rifle
Dan Yu,People's Republic of China,24,158.0,50.0,F,1987-08-18 00:00:00,0,0,1,1,Shooting,Women's 10m Air Rifle
Olga Zabelinskaya,Russian Federation,32,175.0,61.0,F,1980-05-10 00:00:00,0,0,2,2,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Natalya Zabolotnaya,Russian Federation,26,165.0,75.0,F,1985-08-15 00:00:00,0,1,0,1,Weightlifting,Women's 75kg
Ilya Zakharov,Russian Federation,21,177.0,70.0,M,1991-05-02 00:00:00,0,1,0,1,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard, Men's Synchronised 10m Platform"
Chenglong Zhang,People's Republic of China,23,173.0,65.0,M,1989-05-12 00:00:00,1,0,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Jike Zhang,People's Republic of China,24,178.0,70.0,M,1988-02-16 00:00:00,1,0,0,1,Table Tennis,"Men's Singles, Men's Team"
Nan Zhang,People's Republic of China,22,183.0,73.0,M,1990-03-01 00:00:00,1,0,0,1,Badminton,Mixed Doubles
Andrija Zlatic,Serbia,34,180.0,85.0,M,1978-01-25 00:00:00,0,0,1,1,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Urska Zolnir,Slovenia,30,173.0,63.0,F,1981-10-09 00:00:00,1,0,0,1,Judo,Women's -63kg
Kai Zou,People's Republic of China,24,158.0,55.0,M,1988-02-25 00:00:00,1,0,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
