STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
50,VT,05053,4,20,0,0,0,0,60,0,0,0,0,0,0,0,30,1838,20,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1258,0,0,0,0,0,0,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,131
50,VT,05053,5,40,0,30,0,20,90,30,0,0,0,0,0,0,0,6688,40,6688,30,2505,30,41,30,965,20,788,0,0,0,0,20,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1200,6132,0,0,30,374,0,0,30,321,0,0,30,703,40,218,0,0,0,0,0,0,0,0,30,101,0,0,0,0,40,5067,40,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1106,0,0,0,0,0,0,0,0,0,0,30,863,30,968,0,0,0,0,0,0,0,0
50,VT,05053,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05055,1,470,410,40,0,220,360,40,0,0,0,0,0,20,100,4912,470,5131,340,3117,120,57,170,487,160,369,0,0,90,643,130,260,30,185,40,307,0,20,76,0,0,0,0,120,219,0,0,0,0,0,0,0,0,30,33,30,69,0,0,40,626,516,20,140,20,17,0,0,30,203,0,0,40,243,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,0,250,1395,210,136,0,0,0,0,70,16,30,1,0,0,0,0,0,0,0,0,0,0,80,109,30,119,40,114,0,0,380,530,70,92,40,70,20,23,0,0,40,37,190,120,240,235,0,0,0,0,80,65,300,325
50,VT,05055,2,270,170,60,50,120,400,80,0,0,0,0,0,40,90,9998,270,10410,220,6544,110,55,100,607,90,491,40,19,70,822,90,462,30,550,50,818,0,0,0,70,411,50,134,110,412,0,0,0,0,40,138,0,0,50,49,0,0,0,0,70,1260,2716,40,341,60,116,40,21,50,355,40,6,70,478,50,269,0,0,0,0,0,0,0,0,50,94,50,232,0,0,260,5654,250,679,0,0,50,70,100,76,30,3,20,9,30,36,50,10,40,30,0,0,50,146,50,172,50,226,0,0,260,1151,30,60,20,43,30,34,0,0,0,0,220,603,240,762,0,0,0,0,50,112,200,437
50,VT,05055,3,200,100,60,50,110,350,90,0,0,0,0,0,0,70,12392,200,12869,160,8421,100,69,80,565,80,422,40,37,60,921,70,293,40,552,50,1047,0,0,0,50,718,0,0,100,477,0,0,0,0,30,187,40,221,40,41,0,0,0,0,90,2002,5631,20,282,80,240,0,0,80,563,0,0,90,841,50,383,0,0,0,0,0,0,0,0,70,84,40,381,0,0,190,8190,190,1188,0,0,0,0,80,98,30,3,0,0,30,40,0,0,30,40,30,57,40,144,0,0,0,0,0,0,190,1578,0,0,0,0,0,0,40,38,0,0,180,1089,190,1242,0,0,0,0,50,132,130,427
50,VT,05055,4,150,50,80,0,90,320,90,0,0,0,0,0,20,80,13106,150,13510,110,7544,100,94,80,907,80,726,50,61,50,778,70,664,50,872,50,1217,0,0,0,60,1231,20,191,70,404,0,0,0,0,0,0,0,0,20,30,0,0,0,0,100,2404,8771,30,387,100,360,0,0,90,714,0,0,100,1083,60,452,0,0,0,0,0,0,0,0,80,281,20,181,0,0,150,8932,140,1282,0,0,0,0,80,115,40,5,0,0,0,0,0,0,40,51,0,0,40,123,0,0,0,0,0,0,140,1625,0,0,0,0,0,0,0,0,0,0,140,1167,140,1298,0,0,0,0,40,86,100,367
50,VT,05055,5,390,70,300,20,230,990,300,0,0,0,0,0,0,190,55590,390,57150,320,34302,260,494,240,3715,240,3133,160,220,140,3020,210,2335,100,2343,130,5150,0,0,0,120,2970,70,1846,190,1560,50,13,40,486,30,228,20,147,50,57,0,0,0,0,350,10621,49942,60,784,340,2430,0,0,330,3518,40,9,350,6003,230,1901,30,54,30,2,0,0,0,0,320,1183,90,806,0,0,390,40526,390,6834,40,108,0,0,230,341,130,41,50,24,20,39,0,0,60,75,40,74,120,482,0,0,0,0,0,0,390,8015,0,0,0,0,0,0,20,23,0,0,380,6493,390,6990,0,0,0,0,110,574,240,1188
50,VT,05055,6,340,30,300,0,260,1010,360,0,0,0,0,0,0,140,144240,340,147202,300,77673,280,1430,270,13797,260,12282,110,254,150,6293,260,16132,70,3169,80,3918,0,0,0,80,2038,110,12810,180,2962,0,0,40,1143,50,570,0,0,0,0,0,0,0,0,340,25513,143405,0,0,340,10385,0,0,330,5389,30,12,340,15885,230,2816,0,0,0,0,0,0,50,78,320,5403,90,2085,0,0,340,116320,340,31285,280,2925,0,0,220,827,170,554,30,20,0,0,0,0,0,0,40,148,150,924,0,0,0,0,0,0,340,33719,0,0,0,0,0,0,0,0,0,0,340,30041,340,32282,170,313,230,900,140,2595,120,1897
50,VT,05056,1,60,50,0,0,50,60,0,0,0,0,0,0,20,30,632,60,681,40,452,0,0,0,0,0,0,0,0,0,0,0,0,20,373,0,0,0,0,0,0,0,0,0,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,142,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,53,0,0,0,0,0,0,50,66,0,0,0,0,0,0,0,0,0,0,30,14,30,28,0,0,0,0,0,0,50,42
50,VT,05056,2,50,50,0,0,0,70,0,0,0,0,0,0,0,0,1757,50,1757,40,1203,0,0,0,0,0,0,0,0,30,272,0,0,0,0,30,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,607,1692,0,0,20,44,0,0,20,169,0,0,30,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,949,50,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,161,0,0,0,0,0,0,0,0,0,0,40,106,40,114,0,0,0,0,0,0,40,59
50,VT,05056,3,50,0,50,0,40,110,60,0,0,0,0,0,0,30,3417,50,3582,50,2421,60,19,40,149,40,87,0,0,0,0,50,78,0,0,0,0,0,0,0,40,696,0,0,40,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2280,50,307,0,0,0,0,40,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,390,0,0,0,0,0,0,0,0,0,0,50,275,50,313,0,0,0,0,40,80,50,146
50,VT,05056,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05056,5,30,0,30,0,0,70,0,0,0,0,0,0,0,0,5014,30,5014,20,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,708,4241,0,0,20,266,0,0,20,154,0,0,20,458,0,0,0,0,0,0,0,0,0,0,40,95,0,0,0,0,30,3949,30,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,846,0,0,0,0,0,0,0,0,0,0,30,800,30,848,0,0,0,0,0,0,0,0
50,VT,05056,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05058,1,80,50,40,0,30,100,30,0,0,0,0,0,20,40,955,80,974,50,551,30,3,20,45,20,29,0,0,20,154,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,199,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,118,30,53,20,34,0,0,0,0,0,0,30,22,40,59,0,0,0,0,0,0,60,79
50,VT,05058,2,40,30,0,0,20,80,0,0,0,0,0,0,0,0,1619,40,1708,40,1071,0,0,0,0,0,0,0,0,30,315,0,0,0,0,40,560,0,0,0,0,0,0,0,30,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,524,1510,0,0,20,44,0,0,30,152,0,0,30,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,818,40,89,0,0,0,0,30,12,0,0,0,0,0,0,0,0,20,25,0,0,40,84,0,0,0,0,0,0,40,192,0,0,0,0,0,0,0,0,0,0,30,77,40,119,0,0,0,0,40,90,30,91
50,VT,05058,3,50,0,30,0,40,110,30,0,0,0,0,0,0,20,3249,50,3249,50,2726,30,9,30,78,20,51,0,0,0,0,40,42,0,0,0,0,0,0,0,30,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2159,50,295,0,0,0,0,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,367,0,0,0,0,0,0,0,0,0,0,40,256,40,271,0,0,0,0,0,0,60,176
50,VT,05058,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05058,5,30,0,20,0,0,80,30,0,0,0,0,0,0,0,5612,30,5753,20,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,685,3737,0,0,30,167,0,0,30,202,0,0,30,400,40,270,0,0,0,0,0,0,0,0,40,70,0,0,0,0,30,4531,30,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,781,0,0,0,0,0,0,0,0,0,0,30,704,30,777,0,0,0,0,0,0,0,0
50,VT,05058,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05059,1,210,170,0,30,90,180,30,0,0,0,0,0,0,50,2039,210,2115,150,1478,40,14,40,66,40,44,20,18,30,196,30,9,40,325,20,86,0,0,0,0,0,0,0,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,167,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,456,80,49,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,30,39,20,51,30,71,0,0,160,223,40,48,30,40,0,0,20,19,0,0,70,43,90,82,0,0,0,0,30,28,150,168
50,VT,05059,2,160,100,60,0,80,270,70,0,0,0,0,0,40,50,5765,160,5946,130,4134,30,19,40,193,40,138,0,0,30,422,30,84,0,0,30,436,0,0,0,50,249,30,330,60,181,0,0,0,0,20,85,0,0,40,44,0,0,0,0,40,982,1318,0,0,30,39,0,0,40,206,0,0,40,264,30,227,0,0,0,0,0,0,0,0,30,71,0,0,0,0,150,3108,150,373,0,0,0,0,60,46,0,0,0,0,30,39,40,7,30,23,0,0,20,64,0,0,0,0,0,0,150,643,30,56,20,50,30,40,0,0,0,0,130,327,130,396,0,0,0,0,40,64,120,293
50,VT,05059,3,130,60,50,20,70,230,50,0,0,0,0,0,30,50,7954,130,8139,100,5454,50,77,40,258,40,197,40,21,40,584,40,239,30,385,30,515,0,0,0,40,573,0,0,50,185,0,0,0,0,0,0,0,0,40,51,0,0,0,0,50,1156,3258,30,210,50,118,0,0,50,321,0,0,50,454,30,195,0,0,0,0,0,0,0,0,40,93,40,301,0,0,130,5185,120,728,0,0,0,0,50,61,50,5,0,0,0,0,0,0,30,44,0,0,30,111,0,0,0,0,0,0,130,950,0,0,0,0,0,0,0,0,0,0,120,667,120,762,0,0,0,0,30,108,90,282
50,VT,05059,4,90,20,60,0,50,190,50,0,0,0,0,0,0,40,7652,90,7774,70,4984,40,51,40,301,30,174,0,0,0,0,30,104,30,815,30,662,0,0,0,30,587,0,0,40,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1052,4204,0,0,40,162,0,0,50,298,0,0,50,470,40,266,0,0,0,0,0,0,0,0,40,113,0,0,0,0,90,5343,90,783,0,0,0,0,40,52,0,0,40,25,0,0,0,0,40,51,0,0,0,0,0,0,0,0,0,0,90,900,0,0,0,0,0,0,0,0,0,0,90,731,90,782,0,0,0,0,30,105,60,210
50,VT,05059,5,170,30,140,0,110,400,100,0,0,0,0,0,0,80,22873,170,23352,120,13365,100,306,90,927,80,749,60,78,60,1867,80,680,60,1890,60,2812,0,0,0,70,1780,50,2253,80,479,0,0,0,0,30,187,0,0,30,28,0,0,0,0,140,3793,18983,30,214,130,930,0,0,130,1017,50,22,140,1969,100,730,0,0,0,0,0,0,0,0,120,372,50,454,0,0,170,17121,170,2907,0,0,0,0,70,75,30,7,0,0,0,0,0,0,0,0,0,0,50,318,0,0,0,0,0,0,170,3204,0,0,0,0,0,0,0,0,0,0,170,2833,160,3021,0,0,0,0,60,316,100,356
50,VT,05059,6,60,0,60,0,50,150,30,0,0,0,0,0,0,30,22581,60,22936,50,11055,50,153,40,817,40,693,20,19,0,0,40,2481,20,1589,30,983,0,0,0,30,775,0,0,30,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3272,22334,0,0,60,1199,0,0,60,801,0,0,60,2019,50,553,0,0,0,0,0,0,0,0,60,405,0,0,0,0,60,18909,60,4622,60,350,0,0,30,8,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4700,0,0,0,0,0,0,0,0,0,0,60,4601,60,4835,20,27,30,39,30,566,20,152
50,VT,05060,1,820,610,110,90,270,990,190,90,50,40,20,20,100,270,9854,820,10015,580,7024,180,95,130,274,120,199,0,0,120,599,90,91,100,531,140,1096,0,50,130,50,74,0,0,140,161,0,0,0,0,0,0,20,91,40,28,0,0,0,0,50,750,710,30,301,0,0,20,6,40,150,0,0,40,196,0,0,0,0,0,0,0,0,0,0,20,37,0,0,0,0,380,2277,370,238,0,0,20,7,100,28,0,0,0,0,0,0,50,8,0,0,0,0,90,103,50,191,50,181,20,11,700,1315,220,393,170,359,90,98,40,33,20,19,320,210,390,325,0,0,0,0,80,61,640,1035
50,VT,05060,2,660,360,180,110,250,1150,310,50,30,30,0,0,120,180,23994,660,24377,580,19152,140,70,90,369,90,274,50,35,80,826,80,308,70,641,100,1542,0,60,203,140,901,50,257,170,383,0,0,0,0,40,96,0,0,90,90,0,0,0,0,90,1378,3417,40,262,90,129,20,20,80,291,30,15,90,430,80,352,0,0,0,0,20,36,0,0,50,165,40,159,0,0,640,13115,630,1621,0,0,50,46,240,193,30,1,30,11,50,39,110,22,150,128,0,0,70,145,70,284,80,314,50,34,660,2797,140,270,90,202,90,127,0,0,20,30,560,1428,590,1602,0,0,0,0,100,120,550,1262
50,VT,05060,3,360,120,200,30,170,750,190,0,0,0,0,0,40,130,21776,360,22243,310,16501,120,105,90,404,80,346,70,52,80,931,80,494,50,556,70,1651,40,30,123,90,1376,40,373,150,467,40,12,0,0,30,153,20,104,70,72,0,0,0,0,120,1747,7325,30,199,110,282,0,0,110,492,0,0,120,792,90,443,0,0,0,0,0,0,0,0,70,149,30,228,0,0,360,14335,360,1944,0,0,0,0,140,180,20,4,20,8,30,44,40,6,80,127,40,20,60,143,0,0,0,0,0,0,360,2547,0,0,0,0,0,0,20,23,0,0,340,1763,350,1921,0,0,0,0,60,133,290,710
50,VT,05060,4,220,40,180,0,120,530,130,0,0,0,0,0,30,100,19145,220,19429,200,13463,120,138,70,417,70,308,60,47,50,487,60,383,50,762,70,1747,0,0,0,80,1554,0,0,70,284,0,0,0,0,0,0,30,142,40,49,0,0,0,0,110,1966,9124,40,312,110,350,0,0,100,552,0,0,110,909,80,510,0,0,0,0,20,22,0,0,80,233,0,0,0,0,220,13562,220,1899,0,0,0,0,110,170,30,2,30,16,0,0,0,0,60,103,30,45,30,83,0,0,0,0,0,0,220,2223,0,0,0,0,0,0,0,0,0,0,220,1729,220,1821,0,0,0,0,60,158,150,517
50,VT,05060,5,220,40,190,0,120,570,160,0,0,0,0,0,0,80,28504,220,28921,190,20550,120,59,80,623,80,502,90,114,60,915,80,791,60,1723,80,2968,0,0,0,70,1543,50,2822,100,417,0,0,0,0,30,209,0,0,50,52,0,0,0,0,160,3653,21687,0,0,160,933,0,0,150,934,30,11,160,1895,130,764,0,0,0,0,0,0,0,0,120,492,30,264,0,0,220,21813,220,3623,0,0,0,0,110,156,40,17,30,12,30,35,0,0,40,59,0,0,50,234,0,0,0,0,0,0,220,3942,0,0,0,0,0,0,30,23,0,0,210,3466,220,3655,0,0,0,0,80,306,140,609
50,VT,05060,6,60,0,50,0,40,130,30,0,0,0,0,0,0,30,18052,60,18408,50,9074,40,132,40,930,30,654,0,0,0,0,40,3165,0,0,0,0,0,0,0,0,0,0,0,30,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2486,17266,0,0,50,925,0,0,50,472,0,0,60,1426,40,297,0,0,0,0,0,0,0,0,50,638,0,0,0,0,60,15131,60,3513,40,157,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2772,0,0,0,0,0,0,0,0,0,0,60,3443,60,3645,0,0,30,58,40,630,0,0
50,VT,05061,1,230,170,30,0,80,270,40,0,0,0,0,0,20,80,2773,230,2854,160,1815,50,19,30,91,30,60,0,0,30,191,40,44,30,149,40,352,0,0,0,0,0,0,0,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,672,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,0,0,0,0,190,334,50,78,40,68,20,21,0,0,0,0,80,63,110,105,0,0,0,0,30,26,160,250
50,VT,05061,2,190,120,50,50,70,310,70,0,0,0,0,0,20,50,6849,190,7031,170,5557,50,21,30,88,20,67,20,9,30,234,30,88,40,296,30,374,40,40,155,50,245,0,0,60,182,0,0,0,0,30,98,20,87,30,30,0,0,0,0,50,714,1670,30,196,40,52,0,0,50,162,0,0,50,220,40,238,0,0,0,0,0,0,0,0,30,21,0,0,0,0,180,3843,180,483,0,0,0,0,80,52,20,0,0,0,0,0,40,7,30,27,0,0,30,63,40,122,40,131,0,0,180,811,30,70,20,53,20,34,0,0,0,0,160,439,170,508,0,0,0,0,30,33,160,333
50,VT,05061,3,110,40,60,0,50,230,60,0,0,0,0,0,20,40,6762,110,6903,100,5049,40,18,40,203,40,168,30,21,30,224,30,160,0,0,50,908,0,0,0,50,762,40,441,60,141,0,0,0,0,0,0,0,0,40,39,0,0,0,0,40,528,2307,0,0,50,143,0,0,30,138,0,0,40,213,40,198,0,0,0,0,0,0,0,0,40,98,30,224,0,0,110,4487,110,611,0,0,0,0,40,55,0,0,0,0,40,49,0,0,30,35,0,0,30,58,0,0,0,0,0,0,110,750,0,0,0,0,0,0,30,33,0,0,110,556,110,615,0,0,0,0,40,65,80,184
50,VT,05061,4,50,30,40,0,30,130,40,0,0,0,0,0,0,30,4475,50,4475,50,3342,20,4,0,0,0,0,0,0,0,0,0,0,30,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,355,1869,0,0,0,0,0,0,20,106,0,0,20,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3210,50,458,0,0,0,0,30,40,0,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,0,0,0,0,50,542,0,0,0,0,0,0,0,0,0,0,50,418,50,427,0,0,0,0,0,0,40,135
50,VT,05061,5,80,0,90,0,70,220,70,0,0,0,0,0,0,30,10822,80,11097,70,7903,70,55,50,452,40,378,40,41,20,97,40,1067,0,0,30,636,0,0,0,30,735,0,0,40,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2301,14641,0,0,80,665,0,0,80,545,0,0,80,1199,70,468,0,0,0,0,0,0,0,0,70,376,0,0,0,0,80,8191,80,1374,0,0,0,0,50,88,20,4,0,0,0,0,0,0,0,0,0,0,20,66,0,0,0,0,0,0,80,1529,0,0,0,0,0,0,0,0,0,0,80,1293,80,1361,0,0,0,0,40,172,60,291
50,VT,05061,6,20,0,0,0,0,50,0,0,0,0,0,0,0,0,9780,20,9780,20,4731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8255,20,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1243,0,0,0,0,0,0,0,0,0,0,20,1756,20,1781,0,0,0,0,0,0,0,0
50,VT,05062,1,130,90,30,20,70,170,30,0,0,0,0,0,20,50,1677,130,1735,80,988,40,6,30,17,20,10,0,0,40,303,0,0,0,0,30,407,0,0,0,0,0,0,0,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,276,577,0,0,0,0,0,0,0,0,0,0,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,350,60,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,57,30,134,0,0,0,0,110,227,50,91,30,60,20,28,0,0,0,0,50,34,70,95,0,0,0,0,20,29,90,156
50,VT,05062,2,80,40,20,0,30,120,30,0,0,0,0,0,0,30,2669,80,2764,60,1857,20,7,40,225,40,176,0,0,40,715,50,153,0,0,0,0,0,0,0,40,411,0,0,40,95,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,70,1456,70,181,0,0,0,0,40,21,20,2,0,0,0,0,0,0,0,0,0,0,20,62,0,0,30,163,0,0,70,301,0,0,0,0,0,0,0,0,0,0,60,161,70,226,0,0,0,0,40,71,60,121
50,VT,05062,3,50,30,30,0,40,110,30,0,0,0,0,0,0,40,2963,50,3050,40,1824,40,14,0,0,0,0,30,15,0,0,0,0,40,360,30,773,0,0,0,0,0,0,0,30,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,512,1833,0,0,40,75,0,0,40,197,0,0,30,190,30,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1839,50,245,0,0,0,0,30,54,0,0,0,0,0,0,0,0,40,60,0,0,30,108,0,0,0,0,0,0,50,304,0,0,0,0,0,0,0,0,0,0,40,211,50,259,0,0,0,0,0,0,50,135
50,VT,05062,4,30,0,20,0,0,70,20,0,0,0,0,0,0,0,2324,30,2324,20,1538,0,0,0,0,0,0,0,0,20,533,0,0,0,0,0,0,0,0,0,20,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1620,30,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,255,0,0,0,0,0,0,0,0,0,0,30,194,30,205,0,0,0,0,20,90,0,0
50,VT,05062,5,60,0,50,0,40,150,50,0,0,0,0,0,0,20,9968,60,10050,50,6890,30,13,30,185,30,162,0,0,0,0,30,187,0,0,0,0,0,0,0,0,0,0,0,20,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1354,8626,0,0,40,336,0,0,40,311,0,0,50,788,40,366,0,0,0,0,0,0,0,0,40,89,0,0,0,0,60,7914,60,1682,0,0,0,0,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1699,0,0,0,0,0,0,0,0,0,0,50,1544,60,1649,0,0,0,0,0,0,30,181
