país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Comoras,"COM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","42.999","65.675"
Comoras,"COM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.447","63.912"
Comoras,"COM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.96","62.21"
Comoras,"COM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1068124329.86257"
Comoras,"COM","Población, hombres","SP.POP.TOTL.MA.IN","95076","410534"
Comoras,"COM","Población, mujeres","SP.POP.TOTL.FE.IN","96045","403378"
Comoras,"COM","Población, total","SP.POP.TOTL","191121","813912"
"Congo, República del","COG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","49.857","66.748"
"Congo, República del","COG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","48.602","65.088"
"Congo, República del","COG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","47.366","63.466"
"Congo, República del","COG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","131731862.568975","8701334800.21976"
"Congo, República del","COG","Población, hombres","SP.POP.TOTL.MA.IN","514635","2631574"
"Congo, República del","COG","Población, mujeres","SP.POP.TOTL.FE.IN","522585","2629176"
"Congo, República del","COG","Población, total","SP.POP.TOTL","1037220","5260750"
"Congo, República Democrática del","COD","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","42.465","61.543"
"Congo, República Democrática del","COD","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.098","60.031"
"Congo, República Democrática del","COD","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.64","58.532"
"Congo, República Democrática del","COD","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","3359404117.64706","37642482562.3205"
"Congo, República Democrática del","COD","Población, hombres","SP.POP.TOTL.MA.IN","7283487","40581481"
"Congo, República Democrática del","COD","Población, mujeres","SP.POP.TOTL.FE.IN","7964764","40758507"
"Congo, República Democrática del","COD","Población, total","SP.POP.TOTL","15248251","81339988"
Côte d'Ivoire,"CIV","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","37.884","55.662"
Côte d'Ivoire,"CIV","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","36.865","54.102"
Côte d'Ivoire,"CIV","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","35.909","52.66"
Côte d'Ivoire,"CIV","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","546203561.571989","37353276059.2518"
Côte d'Ivoire,"CIV","Población, hombres","SP.POP.TOTL.MA.IN","1817335","12307092"
Côte d'Ivoire,"CIV","Población, mujeres","SP.POP.TOTL.FE.IN","1741653","11987658"
Côte d'Ivoire,"CIV","Población, total","SP.POP.TOTL","3558988","24294750"
Eritrea,"ERI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","39.907","67.749"
