país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Marruecos,"MAR","Población, total","SP.POP.TOTL","12328532","35739580"
Omán,"OMN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","43.504","79.706"
Omán,"OMN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","42.672","77.258"
Omán,"OMN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","41.87","75.553"
Omán,"OMN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","70783875162.5488"
Omán,"OMN","Población, hombres","SP.POP.TOTL.MA.IN","273280","3052702"
Omán,"OMN","Población, mujeres","SP.POP.TOTL.FE.IN","278460","1583560"
Omán,"OMN","Población, total","SP.POP.TOTL","551740","4636262"
Qatar,"QAT","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.344","80.034"
Qatar,"QAT","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","61.094","78.331"
Qatar,"QAT","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","59.212","77.568"
Qatar,"QAT","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","166928571428.571"
Qatar,"QAT","Población, hombres","SP.POP.TOTL.MA.IN","26763","1981342"
Qatar,"QAT","Población, mujeres","SP.POP.TOTL.FE.IN","20621","657869"
Qatar,"QAT","Población, total","SP.POP.TOTL","47384","2639211"
República Árabe Siria,"SYR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","53.389","77.418"
República Árabe Siria,"SYR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","51.971","70.963"
República Árabe Siria,"SYR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","50.671","65.407"
República Árabe Siria,"SYR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","857704431.686497","NA"
República Árabe Siria,"SYR","Población, hombres","SP.POP.TOTL.MA.IN","2337865","9231064"
República Árabe Siria,"SYR","Población, mujeres","SP.POP.TOTL.FE.IN","2235647","9038804"
República Árabe Siria,"SYR","Población, total","SP.POP.TOTL","4573512","18269868"
