Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.881944,3.291667,2.840278,3.173611,1.633323,88491600
1985-02-01,3.173611,3.430556,3.138889,3.347222,1.728975,69672600
1985-03-01,3.354167,3.465278,3.243056,3.291667,1.700277,72385200
1985-04-01,3.305556,3.520833,3.222222,3.375000,1.743322,54203400
1985-05-01,3.347222,3.743056,3.291667,3.708333,1.915502,78861600
1985-06-01,3.694444,3.875000,3.638889,3.805556,1.972370,73141200
1985-07-01,3.798611,3.888889,3.555556,3.652778,1.893188,63401400
1985-08-01,3.652778,3.694444,3.555556,3.590278,1.866915,55638000
1985-09-01,3.604167,3.833333,3.458333,3.604167,1.874137,87634800
1985-10-01,3.597222,3.743056,3.506944,3.708333,1.928303,77227200
1985-11-01,3.715278,4.173611,3.715278,4.152778,2.167135,96807600
1985-12-01,4.152778,4.541667,4.083333,4.493056,2.344709,86067000
1986-01-01,4.479167,4.479167,4.055556,4.437500,2.315718,117577800
1986-02-01,4.430556,4.965278,4.430556,4.965278,2.598989,78361200
1986-03-01,4.958333,5.465278,4.888889,5.354167,2.802547,96417000
1986-04-01,5.361111,5.972222,5.076389,5.527778,2.893421,106223400
1986-05-01,5.513889,6.027778,5.312500,5.701389,2.984294,88990200
1986-06-01,5.701389,6.125000,5.472222,6.093750,3.194600,102577800
1986-07-01,6.083333,6.395833,5.218750,5.333333,2.795957,127272000
1986-08-01,5.250000,5.625000,4.937500,5.239583,2.753503,110055600
1986-09-01,5.239583,5.270833,4.645833,4.718750,2.479797,164512800
1986-10-01,4.791667,5.270833,4.614583,5.250000,2.758978,116494800
1986-11-01,5.229167,5.395833,4.979167,5.281250,2.782960,82435200
1986-12-01,5.270833,5.510417,5.062500,5.072917,2.673178,90169200
1987-01-01,5.125000,5.916667,5.114583,5.812500,3.062902,141369600
1987-02-01,5.812500,6.395833,5.687500,6.354167,3.356790,118674000
1987-03-01,6.375000,6.833333,6.229167,6.604167,3.488861,132388800
1987-04-01,6.500000,6.979167,6.177083,6.666667,3.521878,143138400
1987-05-01,6.697917,7.083333,6.218750,6.562500,3.466848,127340400
1987-06-01,6.625000,7.239583,6.541667,6.625000,3.508429,108199200
1987-07-01,6.625000,7.015625,6.406250,6.937500,3.673920,103898400
1987-08-01,6.750000,7.640625,6.718750,7.281250,3.865142,106493600
1987-09-01,7.296875,7.390625,6.625000,6.750000,3.583136,91305600
1987-10-01,6.765625,6.765625,3.921875,5.687500,3.019123,208041600
1987-11-01,5.500000,5.937500,5.031250,5.156250,2.746558,80318400
1987-12-01,5.218750,5.687500,4.906250,5.500000,2.929661,86950400
1988-01-01,5.500000,5.968750,5.203125,5.656250,3.012889,71470400
1988-02-01,5.703125,6.000000,5.500000,5.937500,3.162702,81680000
1988-03-01,5.906250,6.031250,5.093750,5.437500,2.896368,88900800
1988-04-01,5.406250,5.578125,5.140625,5.390625,2.871399,80951200
1988-05-01,5.375000,5.515625,5.234375,5.500000,2.929661,52496000
1988-06-01,5.437500,5.781250,5.421875,5.765625,3.081211,84571200
1988-07-01,5.765625,5.859375,5.453125,5.625000,3.006058,78321600
1988-08-01,5.625000,5.781250,5.296875,5.437500,2.905856,69368800
1988-09-01,5.406250,6.015625,5.312500,5.937500,3.183191,89530400
1988-10-01,5.937500,6.375000,5.828125,5.953125,3.191569,86249600
1988-11-01,5.953125,6.109375,5.640625,5.843750,3.132928,70474400
1988-12-01,5.859375,6.046875,5.750000,6.015625,3.234787,49943200
1989-01-01,5.906250,6.500000,5.750000,6.500000,3.505557,98990400
1989-02-01,6.500000,6.687500,6.187500,6.312500,3.404433,74651200
1989-03-01,6.359375,6.468750,6.000000,6.421875,3.472841,78532000
1989-04-01,6.437500,6.890625,6.437500,6.875000,3.717883,72266400
1989-05-01,6.875000,7.468750,6.812500,7.453125,4.030521,100836000
1989-06-01,7.437500,7.625000,6.937500,7.312500,3.964935,84444400
1989-07-01,7.343750,7.968750,7.062500,7.781250,4.219100,100505600
1989-08-01,7.750000,7.781250,6.968750,7.218750,3.914102,123034000
1989-09-01,7.187500,7.687500,6.968750,7.437500,4.043222,91198400
1989-10-01,7.375000,8.250000,7.031250,7.750000,4.213103,111886400
1989-11-01,7.687500,8.375000,7.500000,8.218750,4.467930,78103600
1989-12-01,8.250000,8.718750,8.156250,8.625000,4.699828,71662400
1990-01-01,8.593750,8.718750,7.593750,8.156250,4.444401,81655200
1990-02-01,8.156250,8.500000,7.656250,7.875000,4.291147,62559200
1990-03-01,7.906250,8.187500,7.750000,7.937500,4.335804,61293200
1990-04-01,7.875000,8.312500,7.500000,7.562500,4.130962,58470800
1990-05-01,7.562500,8.875000,7.500000,8.656250,4.728417,88237200
1990-06-01,8.750000,9.187500,8.375000,8.875000,4.859793,75208800
1990-07-01,8.906250,9.625000,7.750000,7.843750,4.295099,89198800
1990-08-01,7.843750,7.843750,6.406250,6.968750,3.815963,105616800
1990-09-01,6.875000,7.156250,6.250000,6.500000,3.570370,56720000
1990-10-01,6.500000,6.968750,6.281250,6.312500,3.467379,71312000
