year,country,gdp,mobile_subs,mobile_rate,literacy_rate,region,sub_region
2015,Panama,54091713775.5634,5741929.0,144.6603375,95.03823100000001,Americas,Latin America and the Caribbean
2015,Papua New Guinea,20638636035.255,3560000.0,44.95048817,63.433491000000004,Oceania,Melanesia
2015,Paraguay,36164068797.2511,7411986.0,111.6411078,95.53611,Americas,Latin America and the Caribbean
2015,Peru,189926516769.25,34235810.0,109.11230829999998,94.374352,Americas,Latin America and the Caribbean
2015,Philippines,292774099013.687,117838074.0,115.84967759999998,96.618027,Asia,South-eastern Asia
2015,Poland,476970902628.57794,54537230.0,142.5242595,99.78742199999999,Europe,Eastern Europe
2015,Portugal,199420256049.689,11714693.0,112.4415545,95.428108,Europe,Southern Europe
2015,Puerto Rico,103375500000.0,3204993.0,87.24088991,93.329422,Americas,Latin America and the Caribbean
2015,Qatar,161739835164.835,3740469.0,150.73182409999998,97.757088,Asia,Western Asia
2015,Romania,177893451831.14102,23120000.0,116.3175572,98.75702700000001,Europe,Eastern Europe
2015,Russian Federation,1363705265460.57,227288088.0,157.9618048,99.719566,Europe,Eastern Europe
2015,Rwanda,8277613193.576309,8759619.0,75.32206096,71.2435,Africa,Sub-Saharan Africa
2015,Samoa,804100582.465624,120517.0,62.19943332,99.015007,Oceania,Polynesia
2015,San Marino,1523012088.2777,36624.0,111.11650490000001,96.0,Europe,Southern Europe
2015,Sao Tome and Principe,315521531.954768,184971.0,94.58867928,91.747108,Africa,Sub-Saharan Africa
2015,Saudi Arabia,654269902880.0,52796066.0,167.3030551,94.84236899999999,Asia,Western Asia
2015,Senegal,17767620058.8554,14959477.0,99.88304062,55.624851,Africa,Sub-Saharan Africa
2015,Serbia,37160332465.1645,9155664.0,130.3473823,98.002892,Europe,Southern Europe
2015,Seychelles,1377492465.56086,148244.0,158.140428,95.321083,Africa,Sub-Saharan Africa
2015,Sierra Leone,4218723875.1379,5657000.0,78.16747904,48.4319,Africa,Sub-Saharan Africa
2015,Singapore,304097759674.134,8233100.0,148.73912019999997,96.774628,Asia,South-eastern Asia
2015,Slovak Republic,87769595120.4718,6675553.0,122.7277574,99.599998,Europe,Eastern Europe
2015,Slovenia,43072415017.4321,2353926.0,113.45380829999999,99.71476,Europe,Southern Europe
2015,Solomon Islands,1154650068.85921,424712.0,72.29361921,84.099998,Oceania,Melanesia
2015,Somalia,6659000748.0593605,5836000.0,41.96107183,37.799999,Africa,Sub-Saharan Africa
2015,South Africa,317536830640.61896,87999492.0,159.15634350000002,94.597939,Africa,Sub-Saharan Africa
2015,South Sudan,10906867789.8878,2899000.0,24.3979702,31.97625,Africa,Sub-Saharan Africa
2015,Spain,1199084183705.08,51067770.0,110.06539040000001,98.11451,Europe,Southern Europe
2015,Sri Lanka,80604080688.7961,23899642.0,115.3789507,92.614166,Asia,Southern Asia
2015,St. Kitts and Nevis,936314411.4703699,73009.0,134.4846006,97.800003,Americas,Latin America and the Caribbean
2015,St. Lucia,1622436703.7037,187741.0,105.94505829999999,90.099998,Americas,Latin America and the Caribbean
2015,St. Vincent and the Grenadines,755458031.415067,113371.0,103.577726,95.63215600000001,Americas,Latin America and the Caribbean
2015,Sudan,97156119150.0,27938507.0,72.29002642,58.601318000000006,Africa,Northern Africa
2015,Suriname,4767414747.88691,750458.0,135.6556666,95.538986,Americas,Latin America and the Caribbean
2015,Sweden,498117638852.89703,12638827.0,129.4488949,99.0,Europe,Northern Europe
2015,Switzerland,679832291693.2571,11243210.0,135.1384876,99.0,Europe,Western Europe
2015,Tajikistan,7854602391.65355,8489000.0,99.30221739,99.781052,Asia,Central Asia
2015,Tanzania,47378599025.2894,39665600.0,73.61847004,80.35949699999999,Africa,Sub-Saharan Africa
2015,Thailand,401399422442.96704,102942000.0,149.9353313,93.983017,Asia,South-eastern Asia
2015,Timor-Leste,3104400000.0,1376669.0,110.9342881,64.066139,Asia,South-eastern Asia
2015,Togo,4179185205.1612206,4855206.0,65.46225718,66.53759000000001,Africa,Sub-Saharan Africa
2015,Tonga,435438217.281663,73493.0,69.09574668,99.397858,Oceania,Polynesia
2015,Trinidad and Tobago,24401734194.6814,2123374.0,156.1198801,98.96958199999999,Americas,Latin America and the Caribbean
2015,Tunisia,43152528548.124,14595875.0,129.4688123,81.054192,Africa,Northern Africa
2015,Turkey,859796691176.471,73639261.0,94.08186548,95.688103,Asia,Western Asia
2015,Turkmenistan,35799714285.7143,7842000.0,140.909251,99.692932,Asia,Central Asia
2015,Uganda,27102650386.6012,20220273.0,50.36826125,73.809837,Africa,Sub-Saharan Africa
2015,Ukraine,91030959454.6961,60720073.0,143.9836554,99.764107,Europe,Eastern Europe
2015,United Arab Emirates,358135057862.492,17942560.0,196.0013991,92.986366,Asia,Western Asia
2015,United Kingdom,2896420586534.4,79250793.0,121.1839932,99.0,Europe,Northern Europe
2015,United States,18219297000000.0,382307000.0,119.49739050000001,99.0,Americas,Northern America
2015,Uruguay,53274304222.135994,5165474.0,150.52879860000002,98.442101,Americas,Latin America and the Caribbean
2015,Uzbekistan,66903804142.5395,21783300.0,70.32310573,99.995193,Asia,Central Asia
2015,Vanuatu,737917151.424178,174818.0,66.068034,85.058678,Oceania,Melanesia
2015,Vietnam,193241108709.536,120324052.0,128.5903997,94.514267,Asia,South-eastern Asia
2015,West Bank and Gaza,12673000000.0,3531000.0,75.72566678,96.668037,Asia,Western Asia
2015,"Yemen, Rep.",45593573381.2648,15021953.0,55.8100664,69.961952,Asia,Western Asia
2015,Zambia,21154394545.895,11557725.0,71.78449457,85.117264,Africa,Sub-Saharan Africa
2015,Zimbabwe,19963120600.0,12757410.0,80.85849863,86.873482,Africa,Sub-Saharan Africa
